src	dst	amount
Uc1158424318a	B7f628ad203b5	8
U7a975ca7e0b0	U000000000000	1
C2cb023b6bcef	Ucb84c094edba	1
U26aca0e369c7	B45d72e29f004	1
U016217c34c6e	C4e0db8dec53e	4
Ubeded808a9c0	B9c01ce5718d1	6
U005d51b8771c	U000000000000	1
Cc931cd2de143	Ud7002ae5a86c	1
U0c17798eaab4	C4893c40e481d	7
U1c285703fc63	U016217c34c6e	1
Ubcf610883f95	U000000000000	1
U682c3380036f	U6240251593cd	1
U499f24158a40	Cb95e21215efa	1
U606a687682ec	U000000000000	1
U1e6a314ef612	U000000000000	1
Uab766aeb8fd2	U000000000000	1
C1f41b842849c	U99a0f1f7e6ee	1
Ud7002ae5a86c	Cc931cd2de143	1
Ue20d37fe1d62	U000000000000	1
Ue5c10787d0db	U000000000000	1
U499f24158a40	B79efabc4d8bf	1
U1c285703fc63	U6d2f25cc4264	1
U9605bd4d1218	U000000000000	1
U09cf1f359454	B60d725feca77	-1
U3de789cac826	B9c01ce5718d1	1
U7a8d8324441d	C888c86d096d0	1
U499f24158a40	C10872dc9b863	1
B0e230e9108dd	U9a89e0679dec	1
B3f6f837bc345	U6d2f25cc4264	1
U8a78048d60f7	C2e31b4b1658f	1
U09cf1f359454	B25c85fe0df2d	-1
U704bd6ecde75	Cfd47f43ac9cf	1
Ua12e78308f49	U000000000000	1
U8a78048d60f7	Ub93799d9400e	1
U6d2f25cc4264	B491d307dfe01	3
U09cf1f359454	C81f3f954b643	1
U7a8d8324441d	C3fd1fdebe0e9	1
U0c17798eaab4	U000000000000	1
C0a576fc389d9	U1bcba4fd7175	1
U0ff6902d8945	U000000000000	1
U7a8d8324441d	U6d2f25cc4264	1
U6d2f25cc4264	B3f6f837bc345	1
U01814d1ec9ff	C6d52e861b366	3
U362d375c067c	Cd795a41fe71d	1
U638f5c19326f	C63e21d051dda	1
U6d2f25cc4264	B3b3f2ecde430	-1
U6240251593cd	B75a44a52fa29	4
C7986cd8a648a	U682c3380036f	1
U585dfead09c6	B9c01ce5718d1	2
C637133747308	Ue202d5b01f8d	1
U9605bd4d1218	B9c01ce5718d1	2
Cfd47f43ac9cf	U704bd6ecde75	1
Cdd49e516723a	U704bd6ecde75	1
U26aca0e369c7	Be2b46c17f1da	7
U6249d53929c4	U000000000000	1
Uad577360d968	C588ffef22463	-1
U8a78048d60f7	B3c467fb437b2	-1
Bf34ee3bfc12b	U6240251593cd	1
U5f8c0e9c8cc4	U000000000000	1
Uf2b0a6b1d423	Bb78026d99388	9
Ue202d5b01f8d	B9c01ce5718d1	2
U01814d1ec9ff	B5a1c1d3d0140	5
U8a78048d60f7	B5eb4c6be535a	-1
Ubebfe0c8fc29	U000000000000	1
U6d2f25cc4264	B310b66ab31fb	1
U6d2f25cc4264	B79efabc4d8bf	2
Cc9f863ff681b	Uc1158424318a	1
C888c86d096d0	U7a8d8324441d	1
U499f24158a40	Bfefe4e25c870	1
U660f0dfe3117	U000000000000	1
U26aca0e369c7	U000000000000	1
Uef7fbf45ef11	U6d2f25cc4264	1
U499f24158a40	C6f84810d3cd9	1
Cd6c9d5cba220	Ud5b22ebf52f2	1
Uc1158424318a	B499bfc56e77b	1
U99a0f1f7e6ee	C96bdee4f11e2	-18
U499f24158a40	Cd172fb3fdc41	1
Uaa4e2be7a87a	C0b19d314485e	1
U6d2f25cc4264	B5eb4c6be535a	-1
U17789c126682	U000000000000	1
C4818c4ed20bf	U499f24158a40	1
U585dfead09c6	U000000000000	1
U389f9f24b31c	Bad1c69de7837	2
U20d01ad4d96b	U000000000000	1
Bad1c69de7837	Uad577360d968	1
U8a78048d60f7	Bf34ee3bfc12b	3
U80e22da6d8c4	C2bbd63b00224	1
U57a6591c7ee1	U000000000000	1
U8aa2e2623fa5	U000000000000	1
U8a78048d60f7	Cc42c3eeb9d20	1
C78ad459d3b81	U9a2c85753a6d	1
Uf2b0a6b1d423	C3fd1fdebe0e9	7
Ue7a29d5409f2	Cfdde53c79a2d	5
Uaa4e2be7a87a	B7f628ad203b5	9
U5ef3d593e46e	U000000000000	1
U7382ac807a4f	U000000000000	1
U5c827d7de115	B69723edfec8a	1
